prod_codi,prod_nome,prod_url
27292BR-CP, PAPELEIRA ELATE CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27292BR-CP.png
23284BR-BL, PORTA TOALHA BARRA SQUARE 457MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23284BR-BL.png
23285BR-BL, PORTA TOALHA BARRA SQUARE 610MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23285BR-BL.png
23290BR-BL, CABIDE SQUARE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23290BR-BL.png
23291BR-BL, TOALHEIRO SQUARE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23291BR-BL.png
23292BR-BL, PAPELEIRA SQUARE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23292BR-BL.png
939BR-G-BN, CHUV RED S/T PURIST 140MM BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/939BR-G-BN.png
939BR-G-BL, CHUV RED S/T PURIST 140MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/939BR-G-BL.png
939BR-G-CP, CHUV RED S/T PURIST 140MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/939BR-G-CP.png
939BR-G-RGD, CHUV RED S/T PURIST 140MM RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/939BR-G-RGD.png
22170BR-BN, CHUV RED  S/T PURIST MULT 138MM BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22170BR-BN.png
22170BR-BL, CHUV RED  S/T PURIST MULT 138MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22170BR-BL.png
22170BR-CP, CHUV RED  S/T PURIST MULT 138MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22170BR-CP.png
22170BR-RGD, CHUV RED  S/T PURIST MULT 138MM RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22170BR-RGD.png
18361BR-CL-BL, CHUV QUAD TETO S/T CONT KTLT 254MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/18361BR-CL-BL.png
18359BR-CL-BL, CHUV RED TETO S/T CONT KTLT 254MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/18359BR-CL-BL.png
18360BR-CL-BL, CHUV QUAD TETO S/T CONT KTLT 203MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/18360BR-CL-BL.png
18358BR-CL-BL, CHUV RED TETO S/T CONT KTLT 203MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/18358BR-CL-BL.png
15396BR-B-BL, TUBO CHUV PAR 383MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/15396BR-B-BL.png
21335BR-BN, DUC MAN RED SHIFT PLUS BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/21335BR-BN.png
21335BR-BL, DUC MAN RED SHIFT PLUS BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/21335BR-BL.png
21335BR-CP, DUC MAN RED SHIFT PLUS CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/21335BR-CP.png
21335BR-RGD, DUC MAN RED SHIFT PLUS RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/21335BR-RGD.png
21335BR-BL, DUC MAN RED SHIFT PLUS BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/21335BR-BL.png
22166BR-G-CP, DUC MAN MULTIF PURIST 284MM CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22166BR-G-CP.png
22166BR-G-BN, DUC MAN MULTIF PURIST 284MM BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22166BR-G-BN.png
22166BR-G-BL, DUC MAN MULTIF PURIST 284MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22166BR-G-BL.png
22166BR-G-RGD, DUC MAN MULTIF PURIST 284MM RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22166BR-G-RGD.png
22166BR-G-BL, DUC MAN MULTIF PURIST 284MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/22166BR-G-BL.png
11627BR-BL, CONEXAO DE PAR QUAD BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/11627BR-BL.png
